Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
7.4e-06,3369.19,9067.32
7.41e-06,3369.83,9065.72
7.42e-06,3370.46,9064.11
7.43e-06,3371.1,9062.5
7.44e-06,3371.74,9060.89
7.45e-06,3372.37,9059.27
7.46e-06,3373.01,9057.66
7.47e-06,3373.65,9056.05
7.48e-06,3374.29,9054.43
7.49e-06,3374.93,9052.81
7.5e-06,3375.57,9051.2
7.51e-06,3376.21,9049.58
7.52e-06,3376.85,9047.96
7.53e-06,3377.49,9046.34
7.54e-06,3378.13,9044.71
7.55e-06,3378.77,9043.09
7.56e-06,3379.42,9041.46
7.57e-06,3380.06,9039.84
7.58e-06,3380.7,9038.21
7.59e-06,3381.35,9036.58
7.6e-06,3381.99,9034.95
7.61e-06,3382.64,9033.32
7.62e-06,3383.28,9031.69
7.63e-06,3383.93,9030.06
7.64e-06,3384.57,9028.42
7.65e-06,3385.22,9026.79
7.66e-06,3385.87,9025.15
7.67e-06,3386.51,9023.51
7.68e-06,3387.16,9021.88
7.69e-06,3387.81,9020.24
7.7e-06,3388.46,9018.59
7.71e-06,3389.11,9016.95
7.72e-06,3389.76,9015.31
7.73e-06,3390.41,9013.66
7.74e-06,3391.06,9012.02
7.75e-06,3391.71,9010.37
7.76e-06,3392.36,9008.72
7.77e-06,3393.02,9007.07
7.78e-06,3393.67,9005.42
7.79e-06,3394.32,9003.77
7.8e-06,3394.98,9002.11
7.81e-06,3395.63,9000.46
7.82e-06,3396.28,8998.8
7.83e-06,3396.94,8997.15
7.84e-06,3397.59,8995.49
7.85e-06,3398.25,8993.83
7.86e-06,3398.91,8992.17
7.87e-06,3399.56,8990.51
7.88e-06,3400.22,8988.84
7.89e-06,3400.88,8987.18
7.9e-06,3401.54,8985.51
7.91e-06,3402.2,8983.85
7.92e-06,3402.86,8982.18
7.93e-06,3403.52,8980.51
7.94e-06,3404.18,8978.84
7.95e-06,3404.84,8977.17
7.96e-06,3405.5,8975.5
7.97e-06,3406.16,8973.82
7.98e-06,3406.82,8972.15
7.99e-06,3407.48,8970.47
8e-06,3408.15,8968.79
8.01e-06,3408.81,8967.12
8.02e-06,3409.48,8965.44
8.03e-06,3410.14,8963.75
8.04e-06,3410.81,8962.07
8.05e-06,3411.47,8960.39
8.06e-06,3412.14,8958.7
8.07e-06,3412.8,8957.02
8.08e-06,3413.47,8955.33
8.09e-06,3414.14,8953.64
8.1e-06,3414.81,8951.95
