Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp"
5.72e-06,14848.1,14657.8
5.73e-06,14844.0,14653.8
5.74e-06,14839.9,14649.8
5.75e-06,14835.8,14645.8
5.76e-06,14831.8,14641.8
5.77e-06,14827.7,14637.8
5.78e-06,14823.6,14633.8
5.79e-06,14819.6,14629.9
5.8e-06,14815.6,14625.9
5.81e-06,14811.5,14622.0
5.82e-06,14807.5,14618.0
5.83e-06,14803.5,14614.1
5.84e-06,14799.5,14610.2
5.85e-06,14795.5,14606.3
5.86e-06,14791.5,14602.3
5.87e-06,14787.6,14598.5
5.88e-06,14783.6,14594.6
5.89e-06,14779.6,14590.7
5.9e-06,14775.7,14586.8
5.91e-06,14771.8,14583.0
5.92e-06,14767.8,14579.1
5.93e-06,14763.9,14575.3
5.94e-06,14760.0,14571.4
5.95e-06,14756.1,14567.6
5.96e-06,14752.2,14563.8
5.97e-06,14748.3,14560.0
5.98e-06,14744.4,14556.2
5.99e-06,14740.6,14552.4
6e-06,14736.7,14548.6
6.01e-06,14732.8,14544.8
6.02e-06,14729.0,14541.1
6.03e-06,14725.2,14537.3
6.04e-06,14721.3,14533.6
6.05e-06,14717.5,14529.8
6.06e-06,14713.7,14526.1
6.07e-06,14709.9,14522.4
6.08e-06,14706.1,14518.7
6.09e-06,14702.3,14514.9
6.1e-06,14698.5,14511.2
6.11e-06,14694.8,14507.6
6.12e-06,14691.0,14503.9
6.13e-06,14687.3,14500.2
6.14e-06,14683.5,14496.5
6.15e-06,14679.8,14492.9
6.16e-06,14676.0,14489.2
6.17e-06,14672.3,14485.6
6.18e-06,14668.6,14481.9
6.19e-06,14664.9,14478.3
6.2e-06,14661.2,14474.7
6.21e-06,14657.5,14471.1
6.22e-06,14653.8,14467.5
6.23e-06,14650.1,14463.9
6.24e-06,14646.5,14460.3
6.25e-06,14642.8,14456.7
6.26e-06,14639.2,14453.1
6.27e-06,14635.5,14449.6
6.28e-06,14631.9,14446.0
6.29e-06,14628.2,14442.5
6.3e-06,14624.6,14438.9
6.31e-06,14621.0,14435.4
6.32e-06,14617.4,14431.9
6.33e-06,14613.8,14428.3
6.34e-06,14610.2,14424.8
6.35e-06,14606.6,14421.3
6.36e-06,14603.0,14417.8
6.37e-06,14599.5,14414.3
6.38e-06,14595.9,14410.9
6.39e-06,14592.3,14407.4
6.4e-06,14588.8,14403.9
6.41e-06,14585.3,14400.4
6.42e-06,14581.7,14397.0
6.43e-06,14578.2,14393.5
6.44e-06,14574.7,14390.1
6.45e-06,14571.2,14386.7
6.46e-06,14567.7,14383.2
6.47e-06,14564.2,14379.8
6.48e-06,14560.7,14376.4
6.49e-06,14557.2,14373.0
6.5e-06,14553.7,14369.6
6.51e-06,14550.2,14366.2
6.52e-06,14546.8,14362.8
6.53e-06,14543.3,14359.5
6.54e-06,14539.9,14356.1
6.55e-06,14536.4,14352.7
6.56e-06,14533.0,14349.4
6.57e-06,14529.5,14346.0
6.58e-06,14526.1,14342.7
6.59e-06,14522.7,14339.4
6.6e-06,14519.3,14336.0
6.61e-06,14515.9,14332.7
6.62e-06,14512.5,14329.4
6.63e-06,14509.1,14326.1
6.64e-06,14505.7,14322.8
6.65e-06,14502.3,14319.5
6.66e-06,14499.0,14316.2
6.67e-06,14495.6,14312.9
6.68e-06,14492.3,14309.6
