Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
7.5e-06,7625.39,7621.47
7.51e-06,7625.38,7621.5
7.52e-06,7625.37,7621.52
7.53e-06,7625.36,7621.55
7.54e-06,7625.35,7621.57
7.55e-06,7625.34,7621.6
7.56e-06,7625.33,7621.62
7.57e-06,7625.32,7621.64
7.58e-06,7625.31,7621.67
7.59e-06,7625.3,7621.69
7.6e-06,7625.29,7621.71
7.61e-06,7625.28,7621.74
7.62e-06,7625.28,7621.76
7.63e-06,7625.27,7621.78
7.64e-06,7625.26,7621.8
7.65e-06,7625.25,7621.83
7.66e-06,7625.24,7621.85
7.67e-06,7625.23,7621.87
7.68e-06,7625.22,7621.89
7.69e-06,7625.22,7621.91
7.7e-06,7625.21,7621.93
7.71e-06,7625.2,7621.95
7.72e-06,7625.19,7621.97
7.73e-06,7625.18,7621.99
7.74e-06,7625.18,7622.01
7.75e-06,7625.17,7622.03
7.76e-06,7625.16,7622.05
7.77e-06,7625.15,7622.07
7.78e-06,7625.14,7622.09
7.79e-06,7625.14,7622.11
7.8e-06,7625.13,7622.13
7.81e-06,7625.12,7622.15
7.82e-06,7625.11,7622.17
7.83e-06,7625.11,7622.19
7.84e-06,7625.1,7622.21
7.85e-06,7625.09,7622.23
7.86e-06,7625.09,7622.24
7.87e-06,7625.08,7622.26
7.88e-06,7625.07,7622.28
7.89e-06,7625.06,7622.3
7.9e-06,7625.06,7622.31
7.91e-06,7625.05,7622.33
7.92e-06,7625.04,7622.35
7.93e-06,7625.04,7622.37
7.94e-06,7625.03,7622.38
7.95e-06,7625.02,7622.4
7.96e-06,7625.02,7622.42
7.97e-06,7625.01,7622.43
7.98e-06,7625.0,7622.45
7.99e-06,7625.0,7622.47
8e-06,7624.99,7622.48
8.01e-06,7624.98,7622.5
8.02e-06,7624.98,7622.51
